,0,1,2
A,1.4260944,-0.095072426,-0.24586163
R,-0.65532696,-1.3503909,-0.6288277
N,0.7403941,-1.5919312,-0.046576113
D,1.3351481,-0.94678843,-1.5278089
C,-0.45622084,0.17898263,1.8764693
E,0.891627,-0.5696096,-1.9892341
Q,-0.21747202,-0.031053925,-1.3062752
G,1.7576145,-0.9272531,0.18553199
H,-0.94215554,-0.20375748,0.6972488
I,-1.0484637,1.8245504,0.83548224
L,-0.48049936,1.4391881,-0.47242895
K,-0.08785331,-1.1539958,-0.09649784
M,-0.98297274,0.3913276,-0.34931874
F,-1.8446883,1.2719264,0.31847337
P,0.36838984,0.47884816,1.7978431
S,1.3380234,-1.4011521,0.47021353
T,0.9570047,-0.6023022,0.497768
W,-1.5913923,0.8202912,0.47181273
Y,-1.3103586,1.3047578,-0.32697508
V,-0.6671188,1.2033286,1.4423137
U,0.14076449,0.9670774,0.84777206
X,0.0071981708,0.25930992,0.1275141
Z,0.5176622,-0.0037281448,-1.5877213
B,0.8046018,-1.262553,-0.99091715
